ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
bat,crocodile,snail,snake,lizard,rat,sheep,fox,turtle,"['stim5', 'stim6', 'stim7', 'stim4', 'stim8', 'stim1', 'stim3', 'stim2']","['rat', 'sheep', 'fox', 'lizard', 'turtle', 'crocodile', 'snake', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
lizard,goldfish,ant,rat,fox,elephant,giraffe,dog,spider,"['stim3', 'stim2', 'stim8', 'stim1', 'stim6', 'stim4', 'stim7', 'stim5']","['rat', 'ant', 'spider', 'goldfish', 'giraffe', 'fox', 'dog', 'elephant']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
giraffe,dolphin,bluebird,sparrow,fox,butterfly,rat,frog,horse,"['stim8', 'stim6', 'stim4', 'stim1', 'stim3', 'stim2', 'stim7', 'stim5']","['horse', 'rat', 'fox', 'dolphin', 'sparrow', 'bluebird', 'frog', 'butterfly']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
dolphin,mouse,ladybug,crocodile,rat,hog,giraffe,bat,snail,"['stim6', 'stim4', 'stim1', 'stim5', 'stim7', 'stim3', 'stim2', 'stim8']","['giraffe', 'rat', 'mouse', 'hog', 'bat', 'crocodile', 'ladybug', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
tiger,dolphin,crocodile,ant,sparrow,dog,fox,whale,bat,"['stim5', 'stim6', 'stim1', 'stim2', 'stim7', 'stim4', 'stim8', 'stim3']","['dog', 'fox', 'dolphin', 'crocodile', 'whale', 'sparrow', 'bat', 'ant']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
horse,turkey,butterfly,duck,spider,goldfish,hog,sheep,ant,"['stim7', 'stim6', 'stim1', 'stim3', 'stim5', 'stim8', 'stim4', 'stim2']","['sheep', 'hog', 'turkey', 'duck', 'goldfish', 'ant', 'spider', 'butterfly']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
butterfly,dolphin,horse,cat,whale,sparrow,giraffe,monkey,snake,"['stim5', 'stim8', 'stim3', 'stim6', 'stim1', 'stim2', 'stim7', 'stim4']","['sparrow', 'snake', 'cat', 'giraffe', 'dolphin', 'horse', 'monkey', 'whale']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sheep,turkey,rat,dog,hog,goat,fox,horse,dolphin,"['stim5', 'stim4', 'stim7', 'stim3', 'stim6', 'stim2', 'stim8', 'stim1']","['goat', 'hog', 'horse', 'dog', 'fox', 'rat', 'dolphin', 'turkey']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sparrow,snail,rat,monkey,eagle,ant,horse,lizard,bluebird,"['stim8', 'stim4', 'stim2', 'stim7', 'stim6', 'stim3', 'stim5', 'stim1']","['bluebird', 'eagle', 'rat', 'lizard', 'horse', 'monkey', 'ant', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
whale,bluebird,sparrow,goat,frog,snake,elephant,crocodile,tiger,"['stim6', 'stim8', 'stim3', 'stim7', 'stim5', 'stim4', 'stim2', 'stim1']","['elephant', 'tiger', 'goat', 'crocodile', 'snake', 'frog', 'sparrow', 'bluebird']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
