ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
snail,tiger,horse,sheep,turtle,whale,snake,mouse,dolphin,"['stim4', 'stim6', 'stim7', 'stim8', 'stim3', 'stim2', 'stim5', 'stim1']","['turtle', 'snake', 'mouse', 'dolphin', 'sheep', 'horse', 'whale', 'tiger']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
goldfish,fox,bear,owl,giraffe,rat,bat,tiger,horse,"['stim5', 'stim6', 'stim3', 'stim1', 'stim8', 'stim4', 'stim2', 'stim7']","['rat', 'bat', 'owl', 'fox', 'horse', 'giraffe', 'bear', 'tiger']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bat,spider,sparrow,goat,lizard,dolphin,rat,bear,goldfish,"['stim6', 'stim2', 'stim3', 'stim4', 'stim7', 'stim5', 'stim8', 'stim1']","['rat', 'sparrow', 'goat', 'lizard', 'bear', 'dolphin', 'goldfish', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
horse,sheep,turkey,goldfish,hog,ant,butterfly,duck,spider,"['stim1', 'stim4', 'stim2', 'stim7', 'stim5', 'stim3', 'stim8', 'stim6']","['sheep', 'hog', 'turkey', 'duck', 'ant', 'goldfish', 'spider', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bluebird,tiger,elephant,ant,shark,pigeon,whale,ladybug,snake,"['stim5', 'stim7', 'stim3', 'stim8', 'stim2', 'stim1', 'stim6', 'stim4']","['pigeon', 'ladybug', 'ant', 'snake', 'elephant', 'tiger', 'whale', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
giraffe,turtle,ant,snake,owl,sparrow,ladybug,dolphin,turkey,"['stim7', 'stim8', 'stim1', 'stim3', 'stim4', 'stim5', 'stim2', 'stim6']","['dolphin', 'turkey', 'turtle', 'snake', 'owl', 'sparrow', 'ant', 'ladybug']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bluebird,monkey,hog,bear,dog,cow,lizard,frog,horse,"['stim7', 'stim6', 'stim2', 'stim5', 'stim4', 'stim8', 'stim1', 'stim3']","['frog', 'lizard', 'hog', 'cow', 'dog', 'horse', 'monkey', 'bear']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
elephant,crocodile,horse,sheep,turtle,pigeon,bear,frog,dolphin,"['stim6', 'stim8', 'stim2', 'stim3', 'stim1', 'stim7', 'stim4', 'stim5']","['bear', 'dolphin', 'horse', 'sheep', 'crocodile', 'frog', 'turtle', 'pigeon']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
eagle,turtle,hog,snail,frog,cat,sparrow,turkey,cow,"['stim7', 'stim6', 'stim5', 'stim2', 'stim8', 'stim4', 'stim1', 'stim3']","['turkey', 'sparrow', 'cat', 'hog', 'cow', 'frog', 'turtle', 'snail']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
mouse,bluebird,owl,sheep,turtle,snake,fox,dolphin,monkey,"['stim3', 'stim6', 'stim1', 'stim2', 'stim4', 'stim8', 'stim7', 'stim5']","['sheep', 'fox', 'bluebird', 'owl', 'turtle', 'monkey', 'dolphin', 'snake']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
dog,whale,butterfly,hog,crocodile,turkey,goat,elephant,bat,"['stim6', 'stim3', 'stim7', 'stim1', 'stim8', 'stim4', 'stim5', 'stim2']","['goat', 'hog', 'elephant', 'whale', 'bat', 'crocodile', 'turkey', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
cow,butterfly,giraffe,cat,hog,horse,bear,ant,owl,"['stim4', 'stim5', 'stim3', 'stim2', 'stim6', 'stim8', 'stim7', 'stim1']","['hog', 'horse', 'cat', 'giraffe', 'bear', 'owl', 'ant', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
snail,shark,hog,crocodile,giraffe,goat,bluebird,frog,butterfly,"['stim7', 'stim3', 'stim8', 'stim6', 'stim2', 'stim5', 'stim4', 'stim1']","['frog', 'crocodile', 'butterfly', 'bluebird', 'hog', 'goat', 'giraffe', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
fox,frog,dog,sparrow,horse,pigeon,bluebird,eagle,snake,"['stim2', 'stim4', 'stim7', 'stim8', 'stim1', 'stim5', 'stim3', 'stim6']","['dog', 'horse', 'eagle', 'snake', 'frog', 'pigeon', 'sparrow', 'bluebird']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
tiger,eagle,goat,turtle,pigeon,lizard,ant,fox,snake,"['stim7', 'stim2', 'stim5', 'stim3', 'stim1', 'stim4', 'stim8', 'stim6']","['fox', 'goat', 'lizard', 'turtle', 'eagle', 'pigeon', 'snake', 'ant']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
snail,fox,turkey,ladybug,sparrow,cat,duck,monkey,pigeon,"['stim3', 'stim6', 'stim4', 'stim8', 'stim2', 'stim1', 'stim5', 'stim7']","['ladybug', 'duck', 'sparrow', 'pigeon', 'turkey', 'fox', 'cat', 'monkey']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
hog,pigeon,rat,shark,tiger,sheep,duck,butterfly,monkey,"['stim5', 'stim2', 'stim8', 'stim4', 'stim6', 'stim1', 'stim7', 'stim3']","['sheep', 'rat', 'monkey', 'tiger', 'duck', 'pigeon', 'butterfly', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
dog,snail,crocodile,horse,turkey,sheep,duck,spider,snake,"['stim3', 'stim5', 'stim2', 'stim6', 'stim4', 'stim8', 'stim1', 'stim7']","['horse', 'sheep', 'crocodile', 'duck', 'turkey', 'snake', 'snail', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
fox,whale,rat,duck,cow,dog,crocodile,monkey,eagle,"['stim5', 'stim4', 'stim7', 'stim2', 'stim6', 'stim1', 'stim3', 'stim8']","['dog', 'cow', 'monkey', 'rat', 'crocodile', 'whale', 'duck', 'eagle']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
crocodile,snake,hog,spider,shark,turtle,horse,dog,fox,"['stim1', 'stim4', 'stim5', 'stim8', 'stim2', 'stim6', 'stim7', 'stim3']","['snake', 'shark', 'turtle', 'fox', 'hog', 'horse', 'dog', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
owl,turtle,horse,pigeon,bluebird,crocodile,shark,tiger,fox,"['stim3', 'stim4', 'stim8', 'stim2', 'stim7', 'stim1', 'stim5', 'stim6']","['pigeon', 'bluebird', 'fox', 'horse', 'tiger', 'turtle', 'crocodile', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
turkey,fox,crocodile,hog,cow,bear,goldfish,elephant,lizard,"['stim3', 'stim4', 'stim1', 'stim7', 'stim2', 'stim8', 'stim5', 'stim6']","['hog', 'cow', 'fox', 'elephant', 'crocodile', 'lizard', 'bear', 'goldfish']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bat,cat,owl,monkey,elephant,ant,cow,eagle,pigeon,"['stim8', 'stim2', 'stim7', 'stim1', 'stim6', 'stim5', 'stim4', 'stim3']","['pigeon', 'owl', 'eagle', 'cat', 'cow', 'ant', 'elephant', 'monkey']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
horse,monkey,eagle,bat,cow,mouse,tiger,fox,whale,"['stim5', 'stim1', 'stim7', 'stim4', 'stim6', 'stim3', 'stim8', 'stim2']","['mouse', 'monkey', 'fox', 'cow', 'tiger', 'bat', 'whale', 'eagle']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
butterfly,goat,ladybug,dolphin,hog,elephant,duck,giraffe,bluebird,"['stim2', 'stim8', 'stim6', 'stim4', 'stim1', 'stim7', 'stim5', 'stim3']","['ladybug', 'bluebird', 'duck', 'hog', 'goat', 'giraffe', 'elephant', 'dolphin']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
frog,ant,duck,hog,cat,bat,bear,turkey,sparrow,"['stim1', 'stim2', 'stim7', 'stim8', 'stim5', 'stim3', 'stim4', 'stim6']","['ant', 'duck', 'turkey', 'sparrow', 'bat', 'hog', 'cat', 'bear']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
monkey,whale,sheep,snail,spider,eagle,butterfly,bluebird,pigeon,"['stim1', 'stim2', 'stim5', 'stim8', 'stim7', 'stim3', 'stim6', 'stim4']","['whale', 'sheep', 'eagle', 'pigeon', 'bluebird', 'snail', 'butterfly', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
cow,goldfish,tiger,sparrow,rat,turkey,frog,lizard,eagle,"['stim4', 'stim2', 'stim5', 'stim8', 'stim6', 'stim7', 'stim3', 'stim1']","['rat', 'tiger', 'turkey', 'eagle', 'frog', 'lizard', 'sparrow', 'goldfish']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
hog,goat,sparrow,fox,turkey,horse,goldfish,bear,ladybug,"['stim1', 'stim5', 'stim3', 'stim7', 'stim4', 'stim2', 'stim8', 'stim6']","['goat', 'horse', 'fox', 'bear', 'turkey', 'sparrow', 'ladybug', 'goldfish']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
goat,turtle,bear,cow,ladybug,eagle,hog,whale,ant,"['stim6', 'stim3', 'stim2', 'stim7', 'stim5', 'stim1', 'stim8', 'stim4']","['hog', 'cow', 'bear', 'whale', 'eagle', 'turtle', 'ant', 'ladybug']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
sheep,tiger,owl,elephant,bluebird,shark,mouse,snake,cat,"['stim8', 'stim6', 'stim3', 'stim1', 'stim2', 'stim4', 'stim7', 'stim5']","['cat', 'mouse', 'elephant', 'tiger', 'owl', 'bluebird', 'snake', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
sparrow,owl,goldfish,butterfly,dolphin,goat,dog,ladybug,fox,"['stim1', 'stim3', 'stim7', 'stim5', 'stim6', 'stim8', 'stim2', 'stim4']","['owl', 'butterfly', 'ladybug', 'goat', 'dog', 'fox', 'goldfish', 'dolphin']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
rat,elephant,giraffe,pigeon,snake,snail,bear,butterfly,ant,"['stim3', 'stim2', 'stim6', 'stim5', 'stim8', 'stim4', 'stim1', 'stim7']","['pigeon', 'giraffe', 'bear', 'snail', 'ant', 'snake', 'elephant', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
dog,giraffe,bear,frog,butterfly,bluebird,elephant,lizard,eagle,"['stim2', 'stim1', 'stim6', 'stim7', 'stim3', 'stim8', 'stim5', 'stim4']","['bear', 'giraffe', 'elephant', 'lizard', 'frog', 'eagle', 'bluebird', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
turtle,ladybug,monkey,fox,frog,bat,tiger,dolphin,mouse,"['stim4', 'stim1', 'stim8', 'stim3', 'stim5', 'stim7', 'stim2', 'stim6']","['frog', 'ladybug', 'mouse', 'fox', 'bat', 'dolphin', 'monkey', 'tiger']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
hog,sparrow,elephant,owl,bluebird,mouse,bear,snail,cat,"['stim8', 'stim5', 'stim2', 'stim6', 'stim3', 'stim1', 'stim4', 'stim7']","['cat', 'mouse', 'elephant', 'bear', 'owl', 'sparrow', 'bluebird', 'snail']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
duck,giraffe,mouse,turtle,shark,crocodile,spider,dog,cow,"['stim2', 'stim3', 'stim5', 'stim7', 'stim8', 'stim1', 'stim6', 'stim4']","['mouse', 'turtle', 'crocodile', 'dog', 'cow', 'giraffe', 'spider', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
dog,rat,goldfish,fox,turtle,sparrow,horse,snail,shark,"['stim6', 'stim3', 'stim1', 'stim4', 'stim5', 'stim7', 'stim2', 'stim8']","['horse', 'fox', 'rat', 'turtle', 'sparrow', 'snail', 'goldfish', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
horse,dog,duck,mouse,frog,tiger,lizard,shark,butterfly,"['stim1', 'stim3', 'stim5', 'stim2', 'stim6', 'stim4', 'stim7', 'stim8']","['dog', 'mouse', 'tiger', 'duck', 'lizard', 'frog', 'shark', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
turtle,goat,turkey,cow,shark,elephant,giraffe,bluebird,crocodile,"['stim8', 'stim2', 'stim1', 'stim3', 'stim6', 'stim5', 'stim7', 'stim4']","['crocodile', 'turkey', 'goat', 'cow', 'giraffe', 'elephant', 'bluebird', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
snail,spider,dolphin,cat,monkey,cow,ant,rat,tiger,"['stim6', 'stim1', 'stim7', 'stim5', 'stim3', 'stim2', 'stim4', 'stim8']","['ant', 'spider', 'rat', 'cow', 'cat', 'dolphin', 'monkey', 'tiger']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
whale,ant,dolphin,butterfly,owl,lizard,cow,duck,shark,"['stim2', 'stim8', 'stim6', 'stim5', 'stim1', 'stim7', 'stim3', 'stim4']","['dolphin', 'shark', 'cow', 'lizard', 'ant', 'duck', 'butterfly', 'owl']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
horse,owl,dolphin,cat,pigeon,turtle,ladybug,rat,snail,"['stim2', 'stim3', 'stim7', 'stim5', 'stim1', 'stim4', 'stim6', 'stim8']","['dolphin', 'cat', 'rat', 'turtle', 'owl', 'pigeon', 'ladybug', 'snail']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
