ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
tiger,dolphin,cow,sparrow,monkey,giraffe,sheep,ladybug,elephant,"['stim8', 'stim4', 'stim5', 'stim2', 'stim6', 'stim1', 'stim3', 'stim7']","['elephant', 'monkey', 'giraffe', 'cow', 'sheep', 'dolphin', 'sparrow', 'ladybug']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goldfish,snail,bluebird,snake,crocodile,sparrow,sheep,horse,bat,"['stim3', 'stim1', 'stim4', 'stim8', 'stim5', 'stim2', 'stim6', 'stim7']","['snake', 'snail', 'crocodile', 'bat', 'sparrow', 'bluebird', 'sheep', 'horse']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sheep,goldfish,bat,cow,ant,duck,butterfly,elephant,bluebird,"['stim3', 'stim7', 'stim2', 'stim5', 'stim8', 'stim1', 'stim4', 'stim6']","['cow', 'elephant', 'bat', 'duck', 'bluebird', 'goldfish', 'ant', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
rat,duck,sparrow,tiger,lizard,bluebird,dog,fox,crocodile,"['stim6', 'stim7', 'stim3', 'stim1', 'stim2', 'stim5', 'stim4', 'stim8']","['dog', 'fox', 'tiger', 'duck', 'sparrow', 'bluebird', 'lizard', 'crocodile']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sparrow,tiger,crocodile,sheep,lizard,ant,frog,duck,cow,"['stim7', 'stim4', 'stim6', 'stim2', 'stim3', 'stim8', 'stim1', 'stim5']","['duck', 'lizard', 'frog', 'crocodile', 'sheep', 'cow', 'tiger', 'ant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
lizard,frog,monkey,snake,duck,sheep,bluebird,butterfly,mouse,"['stim1', 'stim3', 'stim4', 'stim8', 'stim5', 'stim6', 'stim2', 'stim7']","['frog', 'snake', 'duck', 'mouse', 'sheep', 'bluebird', 'monkey', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goat,lizard,pigeon,tiger,monkey,fox,shark,dog,snake,"['stim7', 'stim5', 'stim4', 'stim3', 'stim2', 'stim1', 'stim6', 'stim8']","['dog', 'fox', 'monkey', 'tiger', 'pigeon', 'lizard', 'shark', 'snake']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
lizard,tiger,ladybug,mouse,pigeon,dolphin,owl,duck,cat,"['stim2', 'stim3', 'stim7', 'stim4', 'stim6', 'stim8', 'stim5', 'stim1']","['ladybug', 'mouse', 'duck', 'pigeon', 'owl', 'cat', 'dolphin', 'tiger']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
spider,goat,bluebird,turkey,cat,cow,hog,lizard,dolphin,"['stim7', 'stim2', 'stim3', 'stim1', 'stim6', 'stim5', 'stim4', 'stim8']","['lizard', 'bluebird', 'turkey', 'goat', 'hog', 'cow', 'cat', 'dolphin']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
turtle,snail,sparrow,elephant,cow,snake,cat,duck,ant,"['stim5', 'stim7', 'stim2', 'stim4', 'stim6', 'stim1', 'stim8', 'stim3']","['snake', 'duck', 'sparrow', 'cow', 'cat', 'snail', 'ant', 'elephant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
lizard,dog,giraffe,goldfish,rat,spider,ant,elephant,fox,"['stim4', 'stim1', 'stim8', 'stim2', 'stim7', 'stim3', 'stim6', 'stim5']","['rat', 'dog', 'fox', 'giraffe', 'elephant', 'goldfish', 'ant', 'spider']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sheep,tiger,bluebird,owl,snake,shark,mouse,elephant,cat,"['stim8', 'stim6', 'stim7', 'stim1', 'stim3', 'stim2', 'stim5', 'stim4']","['cat', 'mouse', 'elephant', 'tiger', 'owl', 'bluebird', 'shark', 'snake']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
elephant,crocodile,turtle,horse,frog,pigeon,bear,sheep,dolphin,"['stim3', 'stim6', 'stim7', 'stim8', 'stim1', 'stim2', 'stim4', 'stim5']","['horse', 'bear', 'sheep', 'dolphin', 'crocodile', 'turtle', 'frog', 'pigeon']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
eagle,turtle,frog,hog,turkey,cat,sparrow,snail,cow,"['stim6', 'stim4', 'stim2', 'stim1', 'stim3', 'stim8', 'stim5', 'stim7']","['sparrow', 'turkey', 'frog', 'turtle', 'hog', 'cow', 'cat', 'snail']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
cow,goldfish,rat,tiger,lizard,turkey,frog,sparrow,eagle,"['stim2', 'stim3', 'stim4', 'stim6', 'stim5', 'stim8', 'stim7', 'stim1']","['rat', 'tiger', 'lizard', 'frog', 'turkey', 'eagle', 'sparrow', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goat,frog,goldfish,sparrow,tiger,bat,owl,monkey,turkey,"['stim4', 'stim7', 'stim5', 'stim1', 'stim8', 'stim6', 'stim3', 'stim2']","['tiger', 'monkey', 'bat', 'frog', 'turkey', 'owl', 'sparrow', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
fox,turtle,lizard,goat,ladybug,ant,bat,cat,dolphin,"['stim3', 'stim7', 'stim6', 'stim8', 'stim2', 'stim1', 'stim5', 'stim4']","['goat', 'cat', 'bat', 'dolphin', 'lizard', 'turtle', 'ant', 'ladybug']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
ladybug,dog,whale,giraffe,turtle,monkey,frog,elephant,snake,"['stim6', 'stim4', 'stim8', 'stim1', 'stim7', 'stim3', 'stim2', 'stim5']","['frog', 'turtle', 'snake', 'dog', 'elephant', 'giraffe', 'whale', 'monkey']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
ladybug,eagle,cat,mouse,shark,duck,hog,fox,dolphin,"['stim5', 'stim1', 'stim6', 'stim3', 'stim2', 'stim7', 'stim8', 'stim4']","['duck', 'eagle', 'hog', 'mouse', 'cat', 'fox', 'dolphin', 'shark']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
snail,eagle,elephant,whale,butterfly,bat,snake,hog,bear,"['stim4', 'stim6', 'stim5', 'stim1', 'stim7', 'stim8', 'stim2', 'stim3']","['butterfly', 'snake', 'bat', 'eagle', 'hog', 'bear', 'elephant', 'whale']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
ladybug,butterfly,sparrow,turkey,crocodile,goldfish,horse,cow,bluebird,"['stim1', 'stim5', 'stim2', 'stim8', 'stim3', 'stim4', 'stim7', 'stim6']","['butterfly', 'goldfish', 'sparrow', 'bluebird', 'turkey', 'crocodile', 'cow', 'horse']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
bear,snail,goldfish,butterfly,frog,pigeon,bat,goat,cat,"['stim8', 'stim7', 'stim6', 'stim5', 'stim4', 'stim1', 'stim3', 'stim2']","['cat', 'goat', 'bat', 'pigeon', 'frog', 'snail', 'butterfly', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
eagle,sheep,bear,dolphin,mouse,crocodile,giraffe,pigeon,rat,"['stim7', 'stim8', 'stim4', 'stim1', 'stim5', 'stim6', 'stim2', 'stim3']","['pigeon', 'rat', 'mouse', 'sheep', 'crocodile', 'giraffe', 'bear', 'dolphin']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
